[2026-06-25 19:28:42] system info:
    hostname: i305
    platform: Linux-6.8.0-83-generic-x86_64-with-glibc2.35
    python: 3.10.12
    torch: 2.9.1+cu128
    world_size: 8
    cuda: 12.8
    cudnn: 91002
    gpu_name: NVIDIA B200
    gpus_visible: 8
    gpu_mem_gib: 178.35
    gpu_capability: 10.0
    gpu_sm_count: 148
    nvidia_driver: 580.82.07
    cpu_affinity: 64
    cpu_cores_logical: 768
    cpu_cores_physical: 384
    ram_total_gib: 3022.95
    ram_available_gib: 2940.91
[2026-06-25 19:28:42] GPU-hour budget: 192 GPU-h on 8 ranks => wall-clock cutoff 24.000h (clock starts after step 0; checked every step).
[2026-06-25 19:33:47] step 000000 | loss 10.398314 | lrm 0.0250 | dt_ms 54852.9
[2026-06-25 19:33:56] step 000001 | loss 10.340952 | lrm 0.0500 | dt_ms 8124.4
[2026-06-25 19:34:04] step 000002 | loss 9.846915 | lrm 0.0750 | dt_ms 7689.4
[2026-06-25 19:34:12] step 000003 | loss 9.415762 | lrm 0.1000 | dt_ms 7701.9
[2026-06-25 19:34:19] step 000004 | loss 9.044964 | lrm 0.1250 | dt_ms 7535.4
[2026-06-25 19:34:27] step 000005 | loss 7.865328 | lrm 0.1500 | dt_ms 7607.7
[2026-06-25 19:34:34] step 000006 | loss 7.055089 | lrm 0.1750 | dt_ms 7574.5
[2026-06-25 19:34:42] step 000007 | loss 6.175208 | lrm 0.2000 | dt_ms 7550.6
[2026-06-25 19:34:49] step 000008 | loss 13.662739 | lrm 0.2250 | dt_ms 7517.4
[2026-06-25 19:34:57] step 000009 | loss 9.134069 | lrm 0.2500 | dt_ms 7516.5
[2026-06-25 19:35:04] step 000010 | loss 6.004720 | lrm 0.2750 | dt_ms 7499.7
[2026-06-25 19:35:12] step 000011 | loss 6.131648 | lrm 0.3000 | dt_ms 7749.8
[2026-06-25 19:35:20] step 000012 | loss 5.236496 | lrm 0.3250 | dt_ms 7465.0
[2026-06-25 19:35:27] step 000013 | loss 5.767756 | lrm 0.3500 | dt_ms 7432.6
[2026-06-25 19:35:34] step 000014 | loss 5.624544 | lrm 0.3750 | dt_ms 7413.8
[2026-06-25 19:35:42] step 000015 | loss 5.099548 | lrm 0.4000 | dt_ms 7399.5
[2026-06-25 19:35:49] step 000016 | loss 5.605721 | lrm 0.4250 | dt_ms 7364.5
[2026-06-25 19:35:57] step 000017 | loss 5.698554 | lrm 0.4500 | dt_ms 7329.8
[2026-06-25 19:36:04] step 000018 | loss 4.694613 | lrm 0.4750 | dt_ms 7320.7
[2026-06-25 19:36:11] step 000019 | loss 4.828826 | lrm 0.5000 | dt_ms 7310.3
[2026-06-25 19:36:19] step 000020 | loss 5.578722 | lrm 0.5250 | dt_ms 7327.8
[2026-06-25 19:36:26] step 000021 | loss 5.826481 | lrm 0.5500 | dt_ms 7411.8
[2026-06-25 19:36:33] step 000022 | loss 5.308973 | lrm 0.5750 | dt_ms 7524.7
[2026-06-25 19:36:41] step 000023 | loss 5.498312 | lrm 0.6000 | dt_ms 7289.7
[2026-06-25 19:36:48] step 000024 | loss 4.715404 | lrm 0.6250 | dt_ms 7255.5
[2026-06-25 19:36:55] step 000025 | loss 5.078950 | lrm 0.6500 | dt_ms 7265.8
[2026-06-25 19:37:03] step 000026 | loss 4.851756 | lrm 0.6750 | dt_ms 7246.8
[2026-06-25 19:37:10] step 000027 | loss 4.890090 | lrm 0.7000 | dt_ms 7215.4
[2026-06-25 19:37:17] step 000028 | loss 4.603448 | lrm 0.7250 | dt_ms 7247.6
[2026-06-25 19:37:24] step 000029 | loss 4.639156 | lrm 0.7500 | dt_ms 7380.6
[2026-06-25 19:37:32] step 000030 | loss 5.088380 | lrm 0.7750 | dt_ms 7367.9
[2026-06-25 19:37:39] step 000031 | loss 4.615445 | lrm 0.8000 | dt_ms 7185.1
[2026-06-25 19:37:46] step 000032 | loss 5.686959 | lrm 0.8250 | dt_ms 7188.1
